system_time,time,pos,curr,angular_pos,position(cm),angular_vel,linear_vel
1751365571.5777018,6350.0,-7116.0,496.97,91.23076923076923,9.553663813224345,1.5886971396358616,9.532182837815169
1751365571.5797138,6361.0,-7186.0,496.97,92.12820512820512,9.647643080639423,1.4239282941678686,8.543569765007211
1751365571.5980415,6372.0,-7257.0,496.97,93.03846153846153,9.742964909017577,1.4442701269416924,8.665620761650155
1751365571.6083012,6382.0,-7328.0,495.12,93.94871794871794,9.838286737395727,1.5886971396358616,9.532182837815169
1751365571.6134193,6392.0,-7399.0,495.12,94.85897435897436,9.93360856577388,1.5886971396358862,9.532182837815316
1751365571.6319194,6404.0,-7469.0,495.12,95.75641025641026,10.02758783318896,1.3052676029872128,7.831605617923277
1751365571.6411953,6414.0,-7540.0,495.12,96.66666666666667,10.12290966156711,1.5886971396358616,9.532182837815169
1751365571.6454175,6424.0,-7611.0,495.12,97.57692307692308,10.218231489945262,1.5886971396358616,9.532182837815169
1751365571.660981,6434.0,-7682.0,495.12,98.48717948717949,10.313553318323414,1.5886971396358616,9.532182837815169
1751365571.6737587,6446.0,-7752.0,495.12,99.38461538461539,10.407532585738496,1.3052676029872128,7.831605617923277
1751365571.6815178,6456.0,-7823.0,492.19,100.2948717948718,10.502854414116644,1.5886971396358616,9.532182837815169
1751365571.693186,6466.0,-7894.0,492.19,101.2051282051282,10.598176242494798,1.5886971396358616,9.532182837815169
1751365571.7046573,6477.0,-7965.0,492.19,102.11538461538461,10.693498070872948,1.4442701269416924,8.665620761650155
1751365571.7093017,6488.0,-8036.0,492.19,103.02564102564102,10.788819899251102,1.4442701269416924,8.665620761650155
1751365571.7267275,6498.0,-8107.0,492.19,103.93589743589743,10.884141727629252,1.5886971396358616,9.532182837815169
1751365571.7318425,6508.0,-8177.0,492.19,104.83333333333333,10.978120995044332,1.5663211235846553,9.39792674150793
1751365571.7461538,6519.0,-8248.0,499.12,105.74358974358974,11.073442823422484,1.4442701269416924,8.665620761650155
1751365571.7461538,6530.0,-8318.0,499.12,106.64102564102564,11.167422090837563,1.4239282941678686,8.543569765007211
1751365571.7649686,6540.0,-8388.0,499.12,107.53846153846153,11.261401358252641,1.5663211235846553,9.39792674150793
1751365571.7779093,6551.0,-8458.0,499.12,108.43589743589743,11.35538062566772,1.4239282941678686,8.543569765007211
1751365571.7886286,6561.0,-8528.0,499.12,109.33333333333333,11.4493598930828,1.5663211235846553,9.39792674150793
1751365571.7995362,6572.0,-8598.0,499.12,110.23076923076923,11.54333916049788,1.4239282941678686,8.543569765007211
1751365571.808383,6582.0,-8669.0,495.51,111.14102564102564,11.638660988876033,1.5886971396358616,9.532182837815169
1751365571.8210833,6593.0,-8739.0,495.51,112.03846153846153,11.73264025629111,1.4239282941678686,8.543569765007211
1751365571.8294346,6603.0,-8810.0,495.51,112.94871794871794,11.827962084669263,1.5886971396358616,9.532182837815169
1751365571.8417735,6614.0,-8880.0,495.51,113.84615384615384,11.921941352084344,1.4239282941678686,8.543569765007211
1751365571.8526254,6624.0,-8951.0,495.51,114.75641025641026,12.017263180462495,1.5886971396358862,9.532182837815316
1751365571.8611915,6635.0,-9022.0,495.51,115.66666666666667,12.112585008840647,1.4442701269416924,8.665620761650155
1751365571.8654459,6645.0,-9092.0,504.1,116.56410256410257,12.206564276255726,1.5663211235846553,9.39792674150793
