system_time,time,vt,vFilt,pos,curr
1757419439.0199842,13754.0,10.0,9.92,33889.0,436.13
1757419439.0247276,13767.0,10.0,9.93,33990.0,436.13
1757419439.045598,13782.0,10.0,9.96,34090.0,436.13
1757419439.0567126,13795.0,10.0,9.98,34190.0,436.13
1757419439.073446,13808.0,10.0,9.99,34291.0,436.13
1757419439.0861912,13821.0,10.0,10.0,34391.0,437.4
1757419439.0928512,13835.0,10.0,9.99,34491.0,437.4
1757419439.1143248,13848.0,10.0,9.97,34590.0,437.4
1757419439.121675,13862.0,10.0,9.94,34690.0,437.4
1757419439.1401284,13876.0,10.0,9.92,34789.0,437.4
1757419439.1533816,13889.0,10.0,9.9,34888.0,435.55
1757419439.1604,13902.0,10.0,9.89,34987.0,435.55
1757419439.1798272,13916.0,10.0,9.88,35086.0,435.55
1757419439.1928303,13929.0,10.0,9.87,35185.0,435.55
1757419439.2081923,13943.0,10.0,9.87,35285.0,439.36
1757419439.2186735,13957.0,10.0,9.88,35384.0,439.36
1757419439.234351,13970.0,10.0,9.89,35484.0,439.36
1757419439.2485156,13983.0,10.0,9.91,35584.0,439.36
1757419439.261764,13997.0,10.0,9.93,35684.0,439.36
1757419439.2752182,14010.0,10.0,9.95,35784.0,438.57
1757419439.2860606,14024.0,10.0,9.95,35884.0,438.57
1757419439.3031774,14038.0,10.0,9.95,35983.0,438.57
1757419439.3158462,14051.0,10.0,9.94,36083.0,438.57
1757419439.328554,14064.0,10.0,9.93,36183.0,438.57
1757419439.334964,14077.0,10.0,9.95,36284.0,435.16
1757419439.356259,14091.0,10.0,9.97,36384.0,435.16
1757419439.3608115,14105.0,10.0,9.98,36484.0,435.16
1757419439.3818834,14118.0,10.0,9.98,36584.0,435.16
1757419439.394438,14132.0,10.0,9.97,36684.0,435.16
1757419439.4095533,14145.0,10.0,9.97,36785.0,435.74
1757419439.4220388,14158.0,10.0,9.98,36885.0,435.74
1757419439.4285243,14172.0,10.0,9.99,36985.0,435.74
1757419439.4502974,14186.0,10.0,9.99,37086.0,435.74
